	comment	comment_date	is_merged	merged_at	request_changes
25	i could have sworn that the fixed behavior was the way it worked all along...	2017-05-15 22:03:18	1.0	2017-05-16 08:59:50	0
26	"yeah in 12.4.0 we had this test:

```ruby
    shared_examples_for ""an ubuntu platform with upstart, update-rc.d and systemd"" do
      before do
        stub_service_providers(:debian, :invokercd, :upstart, :systemd)
      end

      it ""when only the SysV init script exists, it returns a Service::Debian provider"" do
        allow(Chef::Platform::ServiceHelpers).to receive(:config_for_service).with(""ntp"")
          .and_return( [ :initd, :systemd ] )
        expect(resolved_provider).to eql(Chef::Provider::Service::Systemd)
      end
```

so this likely broke in 12.5.1"	2017-05-15 22:06:27	1.0	2017-05-16 08:59:50	0
27	"Looks like it was actually always broken with the new solver
https://github.com/chef/chef/commit/97aaf5bbcdfd0810722b123bdc67e883a7ca8077#diff-78041db52b95a34ebfc3d06c264438a3R80 in `12.0.0.rc.0`"	2017-05-15 23:07:46	1.0	2017-05-16 08:59:50	1
28	travis+appveyor hate you but the code looks right	2017-05-15 19:43:44	1.0	2017-05-16 10:41:27	0
29	"Hey @coderanger, what's the fundamental problem (or problems) you're trying to solve with such a change? Is pulling the OSS docs out of chef-web-docs the only way to achieve it/them?

As a member of the doc team, I'm strongly in favor of keeping the docs together and feel having the OSS content split into their respective repos would lead to a poor user experience overall. Scenario content that crosses multiple technologies, having a common IA, and keeping one place for people to submit doc updates are a few reasons that I have for keeping all of the content in one repo.

Instead of having this conversation in PR comments, I'm open to discussing this through zoom with folks, in-person at ChefConf, or in some other fashion.

"	2017-05-14 03:51:55	0.0		1
30	This makes me nervous as a structural thing. If a user requests a depth, we should probably honor that or error clearly.	2017-05-12 20:38:39	0.0		1
31	"@coderanger you have a valid point. :)  

We use this for specific instances where both uploadarchive.allowUnreachable and uploadpack.allowReachableSHA1InWant are enabled on the git server.  This allows pulls/fetches using any commit id not just advertised references.  This type of un-shallowing is also used within some builds systems for similar conditions.

If it would be better to explicitly fail under this condition for the largest group of consumers then we probably shouldn’t change the behavior.  If we think it would be useful and warrants the addition or change to the attributes/actions on the resource I can certainly provide that as well.

Let me know either way what your opinion is on this.  We have this code as a stand-alone cookbook and leverage the DSL that way, so if this PR isn’t accepted it isn’t the end of the world.  I just wanted to provide the community with an opportunity to have this functionality available natively if desired. :)

Thanks!"	2017-05-12 20:50:46	0.0		0
32	I'm not sure the targeted for chef 15 deprecations should be here.	2017-05-12 17:15:40	0.0		1
33	It looks like I'm missing the DCO portion of this request.  I'll address this and resubmit.  Thanks everyone! :)	2017-05-12 16:45:55	0.0		0
34	I'll resubmit with the DCO requirements in place.  Thanks!	2017-05-12 19:56:57	0.0		0
35	@joshburt You can just force push to your branch after running `dco sign`.	2017-05-12 20:05:11	0.0		0
36	@coderanger  oooh!  Thanks, I've already redone this PR but will definetly use that for next time. :)	2017-05-12 20:37:00	0.0		0
37	"CI failure. Test server not starting. 

jenkins, test this"	2017-05-31 21:57:51	0.0		1
38	5.5/5.x: 41087efb6	2017-05-31 21:19:24	1.0	2017-05-31 21:18:58	0
39	5.5/5.x: 8d8438f79	2017-05-31 20:59:24	1.0	2017-05-31 20:58:58	0
40	jenkins test this	2017-05-31 19:31:19	0.0		0
41	CC @archanid 	2017-05-31 18:47:32	1.0	2017-05-31 20:52:20	0
42	jenkins, test this	2017-05-31 18:56:54	1.0	2017-05-31 20:52:20	0
43	"Backported to:
* 5.3 by 0d3fb688d2e943f20edef881085189b10bdff2af
* 5.4 by 8cb3065fea8f70c7c9bab1021ac9899f38455abf
* 5.x by e3d038cacf6c0503bc9a3f957807e76e057165a9"	2017-05-31 20:55:36	1.0	2017-05-31 20:52:20	0
44	revert in https://github.com/elastic/logstash/commit/e01d247d5ed2442dee678c2b30b71702b8198825	2017-05-31 16:44:35	1.0	2017-05-31 15:39:14	0
45	"We have determined to not fix `--path.plugins`.  The flag will be deprecated in v5.5 and removed in v6.0.  As such, we do not need to fix multivalued options as we do not need them in this way.

Thanks for taking the time to write this.  We hope you continue to support and enhance Logstash in the future."	2017-05-31 16:49:26	0.0		0
46	LGTM.  Merged as 332a2017b36503805404b004b3e879643a0f6778.	2017-05-30 15:19:48	0.0		0
47	Nice to see the lambdas :)	2017-05-30 15:12:13	0.0		0
48	"Thanks, @eddumelendez. Rather than hard-coding some additional media types, I think it would be better to check for compatibility against `*/*+xml`. That would mean that standard media types like `application/xml`, `text/xml`, and `application/rss+xml` are all supported, as well as custom media types like `application/vnd.com.example+xml`

Would you like to update your PR to do that?"	2017-05-08 08:10:22	0.0		1
49	"@wilkinsona Thanks for your feedback. Glad to update the PR and now I'm doing the following

```java
private boolean isCompatibleWithXml(MediaType contentType) {
    MediaType xmlMediaType = new MediaType(""*"", ""*+xml"");
    return xmlMediaType.isCompatibleWith(contentType);
}
```

but since the type is ""*"" even ""application/json"" is valid for xml. Pretty sure I misunderstood something in the process to do this. Could you provide any hint? Thanks in advance."	2017-05-09 03:12:36	0.0		0
50	"Nope, you haven't misunderstood. Using a check against `*/*+xml` was wishful thinking on my part. We could check for `application/xml`, `text/xml`, `application/*+xml` and `text/*+xml` but that would still miss custom XML media types as well as things like `image/svg+xml`. 

I now think that the most robust approach would be to treat the content as JSON by default. If that throws an exception then try XML. If that throws an exception then give up."	2017-05-10 12:45:48	0.0		1
51	Thank you for your efforts here, @eddumelendez. There's more time pressure than usual here as 1.2.1.RELEASE is needed for Spring Boot 2.0.0.M1 so I've fixed #393 in https://github.com/spring-projects/spring-restdocs/commit/113976f2d9eb076e0f38e343629f23bea95155b9. Thanks anyway.	2017-05-12 11:41:03	0.0		0
52	Thank you for the PR, @eddumelendez, but there was a bit more to this. Please see the changes made in https://github.com/spring-projects/spring-restdocs/commit/41d537d06a20ae7eaf0d9edc51e1874ac05644a2 and https://github.com/spring-projects/spring-restdocs/commit/a8e1df3fd82d46ffce50e2e440a6e9b89b002f58 for the details.	2017-05-18 14:59:50	0.0		1
53	"@jd1 Please sign the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=389)!

[Click here](https://cla.pivotal.io/sync/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=389) to manually synchronize the status of this Pull Request.

See the [FAQ](https://cla.pivotal.io/about) for frequently asked questions."	2017-04-25 17:18:56	0.0		0
54	@jd1 Thank you for signing the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=389)!	2017-04-25 17:24:11	0.0		0
55	Well spotted! Thanks very much for the PR.	2017-04-26 13:49:49	0.0		0
56	Thank you	2017-04-24 12:47:53	0.0		0
57	Thank you	2017-04-10 09:37:09	0.0		0
58	Thanks once again	2017-03-31 10:41:46	0.0		0
59	You've done it again, @izeye! Thank you very much	2017-03-28 08:23:46	0.0		0
60	"Thanks for the PR.

> ResourceBundleConstraintDescriptionResolver's constructor will throw MissingResourceException

Did you mean `ResourceBundleConstraintDescriptionResolver` here? Its constructor doesn't do much and won't throw a `MissingResourceException` that I can see.

As things stand, when a constraint is encountered for which there is no description, `ConstraintDescriptions.descriptionsForProperty(String)` will throw an exception that identifies the constraint:

```
java.util.MissingResourceException: Can't find resource for bundle java.util.PropertyResourceBundle, key org.hibernate.validator.constraints.time.DurationMin.description
	at java.util.ResourceBundle.getObject(ResourceBundle.java:450)
	at java.util.ResourceBundle.getString(ResourceBundle.java:407)
	at org.springframework.restdocs.constraints.ResourceBundleConstraintDescriptionResolver.getDescription(ResourceBundleConstraintDescriptionResolver.java:157)
	at org.springframework.restdocs.constraints.ResourceBundleConstraintDescriptionResolver.resolveDescription(ResourceBundleConstraintDescriptionResolver.java:144)
	at org.springframework.restdocs.constraints.ConstraintDescriptions.descriptionsForProperty(ConstraintDescriptions.java:103)
```

I think that's a good thing as it makes it clear that there's a constraint that needs to be described. 

With your proposed change, the undescribed constraint will be ignored. As a result, the documentation may fail to describe a constraint. This goes against the Spring REST Docs ethos which is to make your tests fail if your documentation is inaccurate or incomplete.

Have I misunderstood the intent of your change?"	2017-03-24 20:05:28	0.0		1
61	"My apologies, I mis-summarized the issue - the ExceptionInInitializerError is due to how I'm using Spring REST Docs, not in Spring REST Docs itself. I've updated the title and description of this issue appropriately.

Here's the stack trace:
```
java.util.MissingResourceException: Can't find resource for bundle java.util.PropertyResourceBundle, key org.hibernate.validator.constraints.time.DurationMin.description
        at java.util.ResourceBundle.getObject(ResourceBundle.java:450)
        at java.util.ResourceBundle.getString(ResourceBundle.java:407)
        at org.springframework.restdocs.constraints.ResourceBundleConstraintDescriptionResolver.getDescription(ResourceBundleConstraintDescriptionResolver.java:157)
        at org.springframework.restdocs.constraints.ResourceBundleConstraintDescriptionResolver.resolveDescription(ResourceBundleConstraintDescriptionResolver.java:144)
        at org.springframework.restdocs.constraints.ConstraintDescriptions.descriptionsForProperty(ConstraintDescriptions.java:103)
        at com.example.SomeTest.withPath(SomeTest.java:30)
```

And that line from `com.example.SomeTest.withPath` is:
```
new ConstraintDescriptions(MyEntity.class).descriptionsForProperty(""duration"")
```

Where `MyEntity.duration` is defined as:
```
@org.hibernate.validator.constraints.time.DurationMin(days=7)
private Duration duration;
```

I'm using Hibernate Validator 6 to get DurationMin, which if you're using Spring Boot and Maven, can be done by adding these properties to pom.xml:
```
<hibernate-validator.version>6.0.0.Alpha1</hibernate-validator.version>
<javax-validation.version>2.0.0.Alpha1</javax-validation.version>
```

I don't think it makes sense for `org.springframework.restdocs.constraints.ConstraintDescriptions.descriptionsForProperty` to throw `MissingResourceException` - if no descriptions are found, I would (and did) expect it to return an empty list, and that's the change this PR makes."	2017-03-24 20:51:04	0.0		1
62	"Thanks.

> I don't think it makes sense for `org.springframework.restdocs.constraints.ConstraintDescriptions.descriptionsForProperty` to throw MissingResourceException - if no descriptions are found, I would (and did) expect it to return an empty list, and that's the change this PR makes.

Ok, so I'd understood the intent correctly. Here's what I said about this above:

> With your proposed change, the undescribed constraint will be ignored. As a result, the documentation may fail to describe a constraint. This goes against the Spring REST Docs ethos which is to make your tests fail if your documentation is inaccurate or incomplete.

Thanks again for the PR, but I want to keep the current behaviour."	2017-03-24 20:54:38	0.0		1
63	"Makes sense, and thank you for the rapid and thoughtful response.

How do you suggest such a situation be handled? Obviously, eventually Spring REST docs will have the properties file updated for the new annotations, but what do you recommend users do in the mean time? For example, is there a different, user controllable properties file that one could update to document such constraints?"	2017-03-24 21:56:08	0.0		0
64	">  is there a different, user controllable properties file that one could update to document such constraints?

Yes: http://docs.spring.io/spring-restdocs/docs/current/reference/html5/#documenting-your-api-constraints-describing"	2017-03-24 22:01:04	0.0		0
65	Thanks for the feedback. I think I can do the changes but this may take until the next weekend.	2017-02-28 20:15:58	0.0		0
66	"I have updated the code and rebased it (so that the code comments above are broken sorry for that 🙂  ). 
Major changes:
* the include without any snippets will include every snippet in the operation directory
* the level of the include will be derived from the parent block level"	2017-03-04 21:45:44	0.0		0
67	Thanks, @meistermeier. Did you miss some files when you made the update? The new tests are failing for me because they can't find the `build/generated-snippets/some-operation` directory	2017-03-06 15:13:54	0.0		1
68	There went something completely wrong with the update...so I went down in the code dungeon and found some commits with loose endings ;)	2017-03-06 22:38:51	0.0		1
69	"@meistermeier I've merged this into master. Thank you very much for the contribution.

@mojavelinux We couldn't have done this without your help. Thank you very much."	2017-03-07 17:36:11	0.0		0
70	REST Docs' code style is to only use `final` when it's required	2017-02-28 12:29:41	0.0		0
71	I think this should be called `OperationBlockMacro` and the file itself should be called `operation_block_macro.rb`	2017-02-28 12:32:20	0.0		0
72	I think we could use `parent.level` to figure this out automatically	2017-02-28 12:35:40	0.0		1
73	I don't think the macro should be called `srd` as that would seem to imply the REST Docs will only ever have a single block macro. There doesn't seem to be a tradition of trying to namespace macro names in Asciidoctor so I'm tempted to go with `operation` instead.	2017-02-28 12:38:08	0.0		1
74	I'm intrigued by this test. What was the reasoning behind adding nothing? I would expect this to either produce an error or to include all of the snippets for a particular operation. My preference is for the latter but I'm not set on that.	2017-02-28 12:40:41	0.0		0
75	"I think using [`fetch`](https://ruby-doc.org/core-1.9.3/Hash.html#method-i-fetch) would make this read a bit better:

```ruby
attrs.fetch('snippets', '').split(',')
```"	2017-02-28 12:48:22	0.0		1
76	"I think using `File.join` and some string interpolation would improve the readability here. Something like:

```ruby
File.join(params[:snippet_dir], params[:operation], ""#{snippet}.adoc"")
```"	2017-02-28 12:54:03	0.0		1
77	I'd use string interpolation here too	2017-02-28 12:54:51	0.0		1
78	I'd use string interpolation here too	2017-02-28 12:55:00	0.0		1
79	This should be named `…Tests` to match the other tests classes	2017-02-28 12:56:00	0.0		1
80	My preference would be to store the expected content in files in `src/test/resources`	2017-02-28 12:57:15	0.0		1
81	Now it adds every exiting snippet in the operation folder.	2017-03-04 21:39:24	0.0		0
82	Thanks for the PR, @eddumelendez. Unfortunately, the discussion in #347 didn't reach a conclusion. All of the proposed options, including the one implemented here, had some downsides. I am not convinced that the benefits of any of them outweigh the downsides so I'm going to close this.	2017-02-21 07:57:33	0.0		0
83	Sorry, but I don't want to make that class public. Can you please open an issue and we can explore another solution. I suspect that a Mustache lambda will be the answer. REST Docs already has one for escaping `|` characters in Asciidoctor tables.	2017-02-18 16:44:23	0.0		1
84	"Thanks for the PR. This looks good; I really like the simplicity of it. I do wonder if it might benefit from being hidden behind an abstraction though.

When I was looking at #261 I had something like a `CommandFormatter` in mind that would take a list of Strings, each of which should be kept on one line. The formatter could then either concatenate them with ` ` separators, with `\\%n` separators, or whatever someone wants to implement. A particular formatter could be used by default, and could be configured using `SnippetConfigurer` or by passing one into new overloaded methods on `CliDocumentation`."	2017-02-13 16:39:09	0.0		1
85	"@wilkinsona Thanks!

As for your additional remarks: I was thinking about injecting a `CommandFormatter` object to both `CurlRequestSnippet` and `HttpieRequestSnippet` and using it for printing the output. But then I realized that it's not that simple. 
Let's look at the example from the initial issue:

```
$ curl 'http://localhost/foo' -i -X POST \
   -H 'X-Header-One: ONE' \
   -H 'X-Header-Two: TWO' \
   -d 'a=alpha&b=bravo'
```

Some `curl` parameters are printed after a newline and some are not (`-i -X POST`). This means that there are actually two different separators in use here. I see two possible options for dealing with this:

1. Injecting 2 instances of `CommandFormatter` and passing parameters to one or the other
2. Constructing a `CommandFormatter` object by passing two separators to it and then maintaining both parameter lists inside it.

Option 2 seems to be better for me but I'd like to reach a decision before implementing this. What do you think?"	2017-02-16 20:08:35	0.0		0
86	"I wonder if we could keep it simple and have the curl snippet be somewhat opinionated about where line breaks could go. It could pass the following to the formatter:

- `curl 'http://localhost/foo' -i -X POST`
- `-H 'X-Header-One: ONE'`
- `-H 'X-Header-Two: TWO'`
- `-d 'a=alpha&b=bravo'`

The formatter would treat each of those 4 items as a String that should not be broken onto multiple lines. The formatter is then free to join those four strings in whatever way it deems appropriate, keeping them all on one long line, splitting it over 4 lines, etc."	2017-02-16 20:17:53	0.0		1
87	@wilkinsona I have created the `CommandFormatter` class and applied it to the curl and HTTPie snippets. What do you think about it?	2017-02-18 17:11:28	0.0		0
88	@wilkinsona I've updated the PR as we discussed, please take a look.	2017-03-12 19:05:49	0.0		0
89	@tkopczynski Thanks	2017-03-13 19:44:47	0.0		0
90	Thanks again for the PR. This change is now in master.	2017-03-20 20:34:56	0.0		0
91	Great, thanks for the review @wilkinsona 	2017-03-20 22:23:11	0.0		0
92	Could you make this an interface, please? There could be a single implementation provided out of the box. Something like `ConcatenatingCommandFormatter` that takes a separator as a constructor argument.	2017-02-20 09:08:18	0.0		1
93	OK, I think I managed to introduce the `ConcatenatingCommandFormatter` class as you proposed.	2017-02-20 22:16:56	0.0		0
94	There should be an overloaded variant of this method that takes a command formatter and attributes	2017-03-06 13:51:24	0.0		1
95	There should be an overloaded variant of this method that takes a command formatter and attributes	2017-03-06 13:51:36	0.0		1
96	Looks like this is only used in the tests. I don't think it's needed.	2017-03-06 13:52:02	0.0		1
97	The contract shouldn't mention the use of a separator. The job of the formatter is simply to format a number of elements into a single string.	2017-03-06 13:52:39	0.0		1
98	The method description shouldn't mention concatenation as that can just be an implementation detail. The contract of format is to take a number of elements and turn them into a single string.	2017-03-06 13:53:32	0.0		1
99	This constructor should call `super` with all the other constructors calling this one	2017-03-06 13:54:25	0.0		1
100	This should be `final` with its initialisation happening in the constructor	2017-03-06 13:55:09	0.0		1
101	This should be final with its initialisation happening in the constructor	2017-03-06 13:55:42	0.0		1
102	This constructor should call super with all the other constructors calling this one	2017-03-06 13:56:07	0.0		1
103	I'd prefer that the existing tests were largely unaffected by the introduction of the `CommandFormatter`. That could be done by leaving the content assertions as they were, but creating the snippet with a single-line formatter.	2017-03-06 13:58:22	0.0		1
104	This constructor should be deprecated and a new constructor that takes a `CommandFormatter` introduced	2017-03-06 14:00:37	0.0		1
105	This constructor should be deprecated and a new constructor that takes a CommandFormatter introduced	2017-03-06 14:01:04	0.0		1
106	You could use `CollectionUtils.isEmpty()` here	2017-03-06 14:02:50	0.0		1
107	I think I'd prefer it if this were package-private	2017-03-06 14:03:13	0.0		1
108	I think this static method would be better on `CliDocumentation`. I'd be tempted to call it `multiLine` or `multiLineFormat`.	2017-03-06 14:04:02	0.0		1
109	I think this static method would be better on `CliDocumentation`. I'd be tempted to call it `singleLine` or `singleLineFormat`.	2017-03-06 14:04:20	0.0		1
110	I'm not sure we need this	2017-03-06 14:04:37	0.0		1
111	If the static methods are moved, this test could be simplified to just check that no elements results in an empty string. It would be good to have a similar test for `null` too.	2017-03-06 14:05:35	0.0		1
112	I think this could be simplified to just test against a single formatter with whatever separator too	2017-03-06 14:06:03	0.0		1
113	I think this could be simplified to just test against a single formatter with whatever separator too	2017-03-06 14:06:13	0.0		1
114	I'd prefer that the existing tests were largely unaffected by the introduction of the CommandFormatter. That could be done by leaving the content assertions as they were, but creating the snippet with a single-line formatter.	2017-03-06 14:06:46	0.0		1
115	It's good to have tests for the curl snippet with different command formatters, but there's nothing MockMvc-specific about it so I don't think they belong here.	2017-03-06 14:07:54	0.0		1
116	It's good to have tests for the HTTPie snippet with different command formatters, but there's nothing MockMvc-specific about it so I don't think they belong here.	2017-03-06 14:08:26	0.0		1
117	It's good to have tests for the curl snippet with different command formatters, but there's nothing REST Assured-specific about it so I don't think they belong here.	2017-03-06 14:08:47	0.0		1
118	Just a quick question about this one: deprecating this constructor would mean that I would have to touch every test in `CurlRequestSnippetTests` to switch to a different constructor. Is that ok for you?	2017-03-07 19:07:50	0.0		0
119	"I was torn on this earlier when I was reviewing the change but, while annoying, I think it's probably the right thing to do. It's what I was getting at when I said ""but creating the snippet with a single-line formatter"" in my comment on the tests below.

My motivation was that I wanted the opinion on what the default formatter should be to be in a single place. `CliDocumentation` seemed to make sense as it can then pass the default formatter into `CurlRequestSnippet` and `HttpieRequestSnippet`. 

I was also envisaging a further change where the default moves to `SnippetConfigurer` and it'll apply it to the default `CurlRequestSnippet` and `HttpieRequestSnippet` that it creates. The would lead to the deprecation of `curlRequest()` and `httpieRequest()` on `CliDocumentation` as well.

As I said, I was torn on this so if you don't think the reasoning above is sound I'd really like to hear any counter arguments."	2017-03-07 19:47:31	0.0		0
120	"OK, I understand now. I'm also in favour of putting the default formatter in one place, I just wasn't sure where should it be. After looking at the code again I think that `CliDocumentation` should be a good enough place to put it there.

But, to have it done in a clean way I would propose the following changes:

- `CurlRequestSnippet`: create a copy of all constructors with an additional `commandFormatter` parameter and deprecate the old ones
- `CliDocumentation`: create additional `curlRequest` method that takes `attributes` and `commandFormatter` parameters. Additionally, change all existing `CurlRequestSnippet` constructors so that they will receive the default formatter.
- `CurlRequestSnippetTests`: add the additional formatter parameter to each `CurlRequestSnippet` constructor or call the appropriate `CliDocumentation` method. The former option feels better since these are the `CurlRequestSnippet` tests.

I do understand that this is more or less the same that you have proposed in the first place but now it's written in one place and it's easier for me to see the whole picture."	2017-03-09 19:34:29	0.0		1
121	Sounds good to me. Thanks very much.	2017-03-09 20:04:23	0.0		0
122	No clue why the maven step fails in travis and I am aware that there should be an additional rebase afterwards.	2017-02-09 07:45:39	0.0		1
123	As discussed in #323, it looks like we can do this with a block macro processor written in Ruby so I'm going to close this one. Sorry for the wasted effort, @meistermeier.	2017-02-22 19:42:23	0.0		0
124	Thanks for the PR, @fbenz. The change is now in master.	2017-01-30 17:15:06	0.0		0
125	"This one's proving tricker than I thought it would. I think I'd like the response cookies to be available from `OperationResponse` in the same way that they are now available from `OperationRequest`. It's not totally straightforward, though.

With the cookies available via a `getCookies()` method we'd have to figure out what to do with the `Set-Cookie` header. With REST Assured there'd be the same information in two places. With MockMvc, the cookies would just be available from `getCookies()` unless we explicitly set the header as well (as is being proposed here). Having the same information in two places has caused [problems in the past](https://github.com/spring-projects/spring-restdocs/issues/286) so we need to tread carefully.

I'll give it some more thought."	2017-02-03 14:18:21	0.0		0
126	"I was thinking about this doubled information as well. I came to the conclusion that cookie information should be expressed as a header in OperationResponse (this is why I didn't convert cookies from `getCookies()` method in `RestAssuredResponseConverter`). My reasoning for that was that cookies from a `Set-Cookie` header carry some additional information apart from the name and a value (like domain, HttpOnly flag, etc.) and it would be better to just pass them in `RestAssuredResponseConverter`.
Now that I'm thinking about it, I'm getting more convinced that maybe it would be better to have this information structured in a more object-oriented fashion and create a `ResponseCookie` class (similar to the `RequestCookie` you've introduced).

I'll update this PR accordingly when we reach a decision (I see that I need to do a rebase anyway).

I probably should have mentioned this problem in the PR description, sorry about that."	2017-02-05 10:10:10	0.0		1
127	REST Assured and Jersey's test client (for which there's third-party REST Docs support) both set the `Set-Cookie` header automatically. It'd be nice of MockMvc wasn't the odd one out. MockMvc is also a bit inconsistent on its own: if you use a setter to configure the content type of a request or response it automatically sets the `Content-Type` header as well. I've opened [SPR-15225](https://jira.spring.io/browse/SPR-15225) to see if removing that inconsistency is a possibility. The outcome of that issue will probably tell us what is the right thing to do here.	2017-02-06 10:52:19	0.0		0
128	It looks like SPR-15225 is going to be fixed, but only in 5.0. I think that means we should proceed with setting the `Set-Cookie` header for MockMvc but only if it hasn't already been set. That should allow REST Docs to work with both Spring Framework 4.3 and 5.0.	2017-03-08 17:12:43	0.0		1
129	@wilkinsona I updated the PR. Is it what you had in mind?	2017-03-09 20:14:17	0.0		0
130	Yes, thanks. This looks good. We talked above about making the cookies in the response available from `OperationResponse` but I think that can wait until #306.	2017-03-13 20:37:34	0.0		0
131	Thanks again, @tkopczynski. This is now in master.	2017-03-13 20:49:29	0.0		0
132	Great! Thanks @wilkinsona for merging this	2017-03-13 22:20:07	0.0		0
133	"@lovachittumuri Please sign the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=337)!

[Click here](https://cla.pivotal.io/sync/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=337) to manually synchronize the status of this Pull Request.

See the [FAQ](https://cla.pivotal.io/faq) for frequently asked questions."	2016-12-20 22:09:49	0.0		0
134	@lovachittumuri Thank you for signing the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-restdocs&pullRequestId=337)!	2016-12-20 22:13:19	0.0		0
135	This appears to have been opened in error	2017-01-03 10:39:53	0.0		0
136	Nice! Thanks for the PR	2016-12-29 14:56:59	0.0		0
137	"@wilkinsona I'm glad you like it.
I'd like to continue this with a PR to support cookies in response snippets. It feels that I would need to use some of the code written already here, so what are your plans on merging this?"	2016-12-29 20:01:53	0.0		0
138	@tkopczynski Soon, I hope. I'm just catching up after the holidays. Sorry for the delay, but it will definitely be in 1.2.0.RC1.	2017-01-03 21:55:25	0.0		0
139	Thank you	2016-12-16 14:34:12	0.0		0
140	"Thanks for the PR. What's the problem that it is trying to address? I had imagined that a service could be tested locally using whatever context path is required and the host, scheme, and port can then be modified to reflect the real service. 
"	2016-11-16 08:54:00	0.0		1
